parent_id,parent_name,student_id,institute_id
300001,Sunita Hussain,100001,1
300002,Asha Malhotra,100002,1
300003,Riya Reddy,100003,1
300004,Vikash Sinha,100004,1
300005,Varun Pillai,100005,1
300006,Neha Sastry,100006,1
300007,Aishwarya Joshi,100007,1
300008,Amit Patel,100008,1
300009,Ajay Sharma,100009,1
300010,Archana Roy,100010,1
300011,Aditya Das,100011,1
300012,Akshay Joshi,100012,1
300013,Kiara Mehta,100013,1
300014,Tanvi Nair,100014,1
300015,Devesh Mukherjee,100015,1
300016,Pradeep Ghosh,100016,1
300017,Aparna Khan,100017,1
300018,Aadhya Reddy,100018,1
300019,Suresh Joshi,100019,1
300020,Kavita Goel,100020,1
300021,Rekha Naidu,100021,1
300022,Aarav Menon,100022,1
300023,Aarav Sharma,100023,1
300024,Rahul Chakraborty,100024,1
300025,Prachi Chopra,100025,1
300026,Lakshmi Sen,100026,1
300027,Kavya Prasad,100027,1
300028,Ananya Bhattacharya,100028,1
300029,Bhavana Rao,100029,1
300030,Preeti Malhotra,100030,1
300031,Pooja Chakraborty,100031,1
300032,Rohit Mehta,100032,1
300033,Atul Jain,100033,1
300034,Aditya Bhattacharya,100034,1
300035,Seema Rao,100035,1
300036,Tanvi Chopra,100036,1
300037,Kiara Verma,100037,1
300038,Advik Pillai,100038,1
300039,Aditya Ansari,100039,1
300040,Advik Prasad,100040,1
300041,Vinay Nair,100041,1
300042,Dinesh Ahmed,100042,1
300043,Sanjay Rao,100043,1
300044,Garima Aggarwal,100044,1
300045,Kunal Arora,100045,1
300046,Deepak Ansari,100046,1
300047,Shweta Goel,100047,1
300048,Kartik Verma,100048,1
300049,Aditya Sharma,100049,1
300050,Ankit Ghosh,100050,1
300051,Anand Bansal,100051,1
300052,Madhuri Malhotra,100052,1
300053,Aman Roy,100053,1
300054,Kiara Iyer,100054,1
300055,Sidharth Sharma,100055,1
300056,Anjali Roy,100056,1
300057,Dhruv Naidu,100057,1
300058,Rani Pandey,100058,1
300059,Divya Malhotra,100059,1
300060,Aadhya Malhotra,100060,1
300061,Ankit Mishra,100061,1
300062,Simran Prasad,100062,1
300063,Ashish Chakraborty,100063,1
300064,Asha Arora,100064,1
300065,Varun Sharma,100065,1
300066,Dhruv Reddy,100066,1
300067,Dhruv Sharma,100067,1
300068,Bhavana Mehta,100068,1
300069,Deepak Chowdhury,100069,1
300070,Kartik Mittal,100070,1
300071,Kavya Verma,100071,1
300072,Pallavi Sen,100072,1
300073,Shreya Ali,100073,1
300074,Riya Bose,100074,1
300075,Kavya Goel,100075,1
300076,Devesh Naidu,100076,1
300077,Rashmi Patel,100077,1
300078,Divya Kapoor,100078,1
300079,Riya Das,100079,1
300080,Varsha Ali,100080,1
300081,Pooja Prasad,100081,1
300082,Yash Nair,100082,1
300083,Kavya Bhattacharya,100083,1
300084,Radha Rao,100084,1
300085,Sagar Chopra,100085,1
300086,Suresh Goel,100086,1
300087,Neha Sinha,100087,1
300088,Rashmi Sharma,100088,1
300089,Avinash Pandey,100089,1
300090,Garima Yadav,100090,1
300091,Aman Kapoor,100091,1
300092,Radha Bansal,100092,1
300093,Asha Agarwal,100093,1
300094,Nisha Agarwal,100094,1
300095,Kiara Ghosh,100095,1
