mentor_id,mentor_name,institute_id
200001,Anjali Mehta,1
200002,Shreya Sastry,1
200003,Pradeep Ghosh,1
200004,Aparna Dutta,1
200005,Archana Verma,1
200006,Deepak Patel,1
200007,Shweta Pillai,1
200008,Rajesh Mishra,1
200009,Manish Mishra,1
200010,Kiara Chowdhury,1
200011,Asha Mittal,1
200012,Aditi Dutta,1
200013,Shreyas Bansal,1
200014,Manish Bhattacharya,1
200015,Yash Ansari,1
200016,Ananya Reddy,1
200017,Simran Kapoor,1
200018,Dhruv Sharma,1
200019,Meera Goel,1
200020,Amit Bansal,1
200021,Kartik Iyer,1
200022,Kunal Khan,1
200023,Rekha Chakraborty,1
200024,Akshay Goel,1
200025,Akash Verma,1
